username,created_date,age,gender,city,state,rating,activity_name,title,activity_text,offline_reach,facebook_reach,twitter_reach
LexingtonLynn,6/12/2013,40,f,Lexington,KY,5,Race to Review Energy Blends,Energy Blends are Amazing,The Power Bar Energy Blends are the perfect fuel for the middle of a long run.  Plus they are small enough to carry in a belt pouch without adding extra weight or bulk.  No mess either!  This is a great product for us athletes.,,,
Squeaky45,6/12/2013,36,f,Westminster,MD,4,Race to Review Energy Blends,"small package, big fuel","let me preface this with why I am scoring this as a 4. The only reason this product is not a 5 is due to the taste of the blueberry/banana. That pouch was a little tart for my taste but I am also not a fan of tart things. The Mango was amazing!Currently training for a triathalon I have been working through various different fueling options, most of the bars and chew that I have tried either sat too heavy in my stomach or were impossible to stomach due to taste. When I first got the product I was excited since this would be the first product that was a pouch. First tried it before a 2 hour bike, after 2 hours of riding I still felt strong and could have continued. Second pouch was taken before a 5 mile run, this was the true test since I usually have problems keeping anything down except liquid. I felt great through the entire run and have been incorporating the pouches into my fueling regimen.Overall a great product. If you prefer sweet things get the mango...if you like tart get the blueberry!",,,21
korene,6/12/2013,37,f,Mentor,OH,5,Race to Review Energy Blends,I love this product...great for early morning workouts!,"I have been looking for something to help fuel my early morning workouts that does not upset my stomach. I was skeptical because so far everything has given me an stomach ache, but it didn't. I love the energy the Powerbar Performance Energy Blends give me without the added calories. Also, I don't usually like anything with blueberries, but I loved both flavors they make. I love them so much I am on my second case! This is a great product!",,193,2
zeebee74,6/12/2013,39,f,Hanford,CA,2,Race to Review Energy Blends,PowerBar energy blends...............,I really appreciate the energy on the go! But the PowerBar  energy blend kind of tasted like baby food! But the ok tasting baby food!! LOL,,,
SuziMM,6/12/2013,36,f,Farmington Hills,MI,4,Race to Review Energy Blends,Delicious Energy for Exercise... With One Flaw,"I'm a distance runner - I run half marathons for fun, and my long runs are typically in the double digits.  A girl like me needs carbohydrates to fuel those long runs, which often go more than two hours.  So I was super excited to try the PowerBar Performance Energy Blends to see how they worked compared to my usual fuel (Gu, Gu Chomps or Honey Stingers).  First, the taste: the PowerBar Blends come in great flavors!  The blueberry banana was my favorite, but the apple mango strawberry was pretty good too.  Score one for PowerBar - way tastier than my typical Gu, and it has a much more palatable texture than Gu too.  It's easier to ingest than solids like Gu Chomps and Honey Stingers.It's a great deal on calories compared to other fuel - only 80 calories compared to 100 or more for other fuels.  PowerBar Performance Energy Blends WORK great too - 21 grams of carbs gave me plenty of energy to refuel mid run and keep my performance strong.So... PowerBar Blends are pretty awesome with only one drawback... but it's a big one.  It's the packaging.  It's supposed to be better and more convenient because it's resealable.  But a runner doesn't need a resealable package - we're going to down the whole thing at once to get those carbs flowing.  And that re-closeable cap is HUGE.  It is way too big and cumbersome to carry in a fuel belt on a long outdoor run.  So, it's great for fueling before a long run or good for indoor exercise use, but it's pretty bulky to carry when space is at a premium.Fix the packaging and this product is a total winner!!",,277,3
staceysuther,6/12/2013,28,f,San Tan Valley,AZ,4,Race to Review Energy Blends,Great Energy source! Easy to use,I really enjoyed the new PowerBar Performance Energy Blends. They are perfect for long distance running when you need that extra energy boost. I like having something available when I start to hit the wall. The consistency is similar to that of the baby food pouches. The flavors were delicious. The are easy to use and eat while running and tops twist off just as easily. ,,,8
Dh_jax,6/12/2013,38,m,Jacksonville,NC,4,Race to Review Energy Blends,great way to energize before a run,"love the easy convenience of the new powerbar energy blends.  i enjoy going for early morning runs with my dogs and the new powerbar energy blends are perfect to take along with me to enjoy on my run.  attached is a photo of what i had one day, a powerbar energy blend, with a bottle of cold water and a yummy fresh apple.  gave me that extra energy boost i need in the mornings to get me going.  i love that its easy to carry along on a run, that it is reclosable in case you dont want to eat it all at once and that it comes in several great flavors.",,,
Mamac39,6/12/2013,41,f,Lake In The Hills,IL,5,Race to Review Energy Blends,Time to fuel up,"I have tried PowerBar bars, but this Performance Energy Blends is nothing like I have ever seen on the market before.  I like the idea of a fruit-based energy food formulated with the PowerBar energy enhancing formula.  And for 80 calories, that is not bad.  I try to follow a no sugar/no grain diet (Paleo), and this product seems to work for me.  It feels like real food sports nutrition.  I like the taste, it is mild and smooth, essentially a fruit puree (almost like applesauce) and goes down easily without the need for water.I am currently training for a 9k and trying to build up endurance so this product works really well for my training.  I also do long hikes with my family and a weekly Sh’Bam class with my neighbor and the Performance Energy Blends works well for these activities as well.  It delivers energy quickly, easy to consume on the go (without the mess) and tastes great.  It works well as a pre-workout boost or during a long activity.  I especially like the Apple Mango Strawberry flavor and it is a delicious way to power through my activities.I like the convenience of the packaging and the easy resealable top.  The only thing I don’t like about the packaging is there are many fruit blend/applesauce geared for kids in very similar packaging on the market.  I read on the label not to give the Performance Energy Blends to kids and I put them out of reach so my 6 year old son does not use them.  The packaging looks so wholesome, but if you read the ingredients, this is definitely an adult performance recovery food, not for kids.  Overall, I really like the product and hope they come out in additional flavors. Yum!",,,
atfeller,6/12/2013,47,f,Puyallup,WA,5,Race to Review Energy Blends,Power Bar Energy Blends,"What a delight to try these quick, easy and simple to carry energy drinks. A grown-ups way to enjoy juice on the go. Easy to carry to school, work and even on the bus. Simple refreshing and re-energizing to help you make it through the whole day. I enjoyed the two free samples and like the flavor very much. My kids even had a sip and liked them too. Much better than those juice boxes packed with sugar. Am definitely going to be purchasing these again and again. ",,,
tguttman,6/12/2013,42,f,East Lyme,CT,4,Race to Review Energy Blends,good on empty stomach,"I work out in the morning before eating anything.  I have never been able to exercise after eating, as I always seem to cramp. I decided to try the Energy Blend one morning before exercising. I thought it tasted great. But the big test was my run. I was very surprised that I didnt cramp at all, plus I felt like I had more energy to finish than I normally do. I am very pleasantly surprised and plan to eat it again before exercise. Just not sure how often since I dont want to pay the $2.99 !",,,
